Ano Mês Início,Letra CID,Pericia (Qtde Proc. Concedida)
202308,C,50
202309,C,27
202310,C,42
202311,C,38
202312,C,37
202401,C,36
202402,C,52
202403,C,44
202404,C,51
202405,C,42
202406,C,43
202407,C,30
202408,C,29
201105,D,1
201106,D,1
201107,D,4
201108,D,3
201110,D,3
201111,D,1
201201,D,1
201202,D,2
201204,D,1
201205,D,1
201206,D,3
201209,D,1
201210,D,1
201211,D,3
201212,D,1
201301,D,5
201302,D,8
201303,D,4
201304,D,5
201305,D,2
201306,D,3
201307,D,7
201308,D,9
201309,D,9
201310,D,8
201311,D,2
201312,D,2
201401,D,12
201402,D,8
201403,D,13
201404,D,34
201405,D,34
201406,D,25
201407,D,24
201408,D,36
201409,D,37
201410,D,41
201411,D,59
201412,D,23
201501,D,28
201502,D,26
201503,D,28
201504,D,41
201505,D,47
201506,D,33
201507,D,26
201508,D,42
201509,D,30
201510,D,36
201511,D,30
201512,D,22
201601,D,23
201602,D,27
201603,D,27
201604,D,38
201605,D,30
201606,D,27
201607,D,20
201608,D,54
201609,D,53
201610,D,45
201611,D,41
201612,D,19
201701,D,35
201702,D,25
201703,D,43
201704,D,22
201705,D,26
201706,D,25
201707,D,20
201708,D,52
201709,D,31
201710,D,31
201711,D,33
201712,D,22
201801,D,30
201802,D,33
201803,D,27
201804,D,27
201805,D,22
201806,D,22
201807,D,16
201808,D,35
201809,D,31
201810,D,29
201811,D,29
201812,D,20
201901,D,27
201902,D,25
201903,D,19
201904,D,24
201905,D,37
201906,D,28
201907,D,11
201908,D,34
201909,D,24
201910,D,26
201911,D,22
201912,D,11
202001,D,15
202002,D,18
202003,D,13
202004,D,10
202005,D,9
202006,D,12
202007,D,9
202008,D,9
202009,D,14
202010,D,7
202011,D,16
202012,D,11
202101,D,12
202102,D,11
202103,D,7
202104,D,9
202105,D,16
202106,D,12
202107,D,16
202108,D,27
202109,D,17
202110,D,19
202111,D,23
202112,D,17
202201,D,22
202202,D,11
202203,D,27
202204,D,24
202205,D,24
202206,D,12
202207,D,17
202208,D,23
202209,D,32
202210,D,31
202211,D,14
202212,D,16
202301,D,29
202302,D,13
202303,D,33
202304,D,24
202305,D,16
202306,D,25
202307,D,20
202308,D,24
202309,D,22
202310,D,23
202311,D,30
202312,D,11
202401,D,28
202402,D,18
202403,D,30
202404,D,18
202405,D,24
202406,D,21
202407,D,29
202408,D,13
202409,D,1
