Ano Mês Início,Letra CID,Pericia (Qtde Proc. Concedida)
201711,M,180
201712,M,118
201801,M,138
201802,M,138
201803,M,194
201804,M,218
201805,M,159
201806,M,149
201807,M,140
201808,M,206
201809,M,215
201810,M,205
201811,M,173
201812,M,131
201901,M,180
201902,M,185
201903,M,210
201904,M,163
201905,M,187
201906,M,141
201907,M,119
201908,M,199
201909,M,201
201910,M,197
201911,M,190
201912,M,105
202001,M,163
202002,M,150
202003,M,164
202004,M,65
202005,M,100
202006,M,87
202007,M,85
202008,M,97
202009,M,111
202010,M,86
202011,M,95
202012,M,98
202101,M,103
202102,M,115
202103,M,89
202104,M,88
202105,M,121
202106,M,125
202107,M,133
202108,M,236
202109,M,205
202110,M,192
202111,M,187
202112,M,132
202201,M,142
202202,M,164
202203,M,197
202204,M,174
202205,M,214
202206,M,156
202207,M,153
202208,M,243
202209,M,218
202210,M,205
202211,M,182
202212,M,135
202301,M,201
202302,M,197
202303,M,250
202304,M,189
202305,M,255
202306,M,210
202307,M,170
202308,M,300
202309,M,217
202310,M,232
202311,M,204
202312,M,143
202401,M,260
202402,M,228
202403,M,270
202404,M,284
202405,M,237
202406,M,233
202407,M,136
202408,M,129
201006,N,1
201009,N,1
201106,N,2
201107,N,1
201108,N,5
201109,N,5
201110,N,1
201111,N,3
201112,N,1
201201,N,2
201202,N,3
201203,N,2
201204,N,5
201205,N,4
201206,N,1
201207,N,2
201208,N,6
201209,N,6
201210,N,3
201211,N,7
201212,N,3
201301,N,11
201302,N,10
201303,N,9
201304,N,4
201305,N,8
201306,N,9
201307,N,14
201308,N,20
201309,N,20
201310,N,20
201311,N,20
201312,N,15
201401,N,16
201402,N,24
201403,N,30
201404,N,47
201405,N,57
201406,N,54
201407,N,42
201408,N,69
201409,N,59
201410,N,44
201411,N,49
201412,N,25
201501,N,36
201502,N,30
201503,N,45
201504,N,60
201505,N,47
201506,N,51
201507,N,30
201508,N,50
201509,N,61
201510,N,72
201511,N,63
201512,N,36
201601,N,43
201602,N,43
201603,N,55
201604,N,57
201605,N,41
201606,N,53
201607,N,43
201608,N,64
201609,N,56
201610,N,67
201611,N,52
201612,N,24
201701,N,50
201702,N,34
201703,N,66
201704,N,38
201705,N,50
201706,N,46
201707,N,31
201708,N,57
201709,N,42
201710,N,47
201711,N,41
201712,N,36
201801,N,46
201802,N,36
201803,N,62
201804,N,58
201805,N,40
201806,N,38
201807,N,26
201808,N,50
201809,N,63
201810,N,48
201811,N,48
201812,N,39
201901,N,52
201902,N,54
201903,N,59
201904,N,59
201905,N,40
201906,N,43
201907,N,41
201908,N,58
201909,N,63
201910,N,56
201911,N,30
201912,N,21
202001,N,31
202002,N,36
202003,N,31
202004,N,15
202005,N,21
202006,N,22
202007,N,14
202008,N,25
202009,N,30
202010,N,28
202011,N,25
202012,N,26
202101,N,32
202102,N,21
202103,N,17
202104,N,23
202105,N,28
202106,N,24
202107,N,34
202108,N,55
202109,N,37
202110,N,38
202111,N,48
202112,N,28
202201,N,40
202202,N,46
202203,N,57
202204,N,56
202205,N,57
202206,N,35
202207,N,38
202208,N,76
202209,N,66
202210,N,59
202211,N,59
202212,N,31
202301,N,58
202302,N,39
202303,N,62
202304,N,46
202305,N,73
202306,N,52
202307,N,36
202308,N,58
202309,N,58
202310,N,76
202311,N,73
202312,N,43
202401,N,43
202402,N,64
202403,N,76
202404,N,97
202405,N,87
202406,N,77
202407,N,61
202408,N,39
201004,O,1
201009,O,1
201012,O,1
201102,O,2
201104,O,1
201105,O,6
201106,O,8
201107,O,5
201108,O,3
201109,O,2
201110,O,4
201111,O,4
201112,O,5
201201,O,3
201202,O,2
201203,O,4
201204,O,8
201205,O,7
201206,O,3
201207,O,5
201208,O,4
201209,O,3
201210,O,15
201211,O,9
201212,O,4
201301,O,16
201302,O,14
201303,O,8
201304,O,13
201305,O,13
201306,O,10
201307,O,16
201308,O,23
201309,O,26
201310,O,30
201311,O,29
201312,O,37
201401,O,27
201402,O,44
201403,O,49
201404,O,86
201405,O,87
201406,O,58
201407,O,86
201408,O,83
201409,O,86
201410,O,87
201411,O,86
201412,O,93
201501,O,74
201502,O,72
201503,O,88
201504,O,80
201505,O,72
201506,O,62
201507,O,56
201508,O,93
201509,O,67
201510,O,70
201511,O,53
201512,O,64
201601,O,56
201602,O,55
201603,O,61
201604,O,65
201605,O,61
201606,O,60
201607,O,68
201608,O,62
201609,O,84
201610,O,58
201611,O,52
201612,O,50
201701,O,51
201702,O,65
201703,O,96
201704,O,65
201705,O,76
201706,O,66
201707,O,55
201708,O,78
201709,O,62
201710,O,57
201711,O,71
201712,O,58
201801,O,75
201802,O,52
201803,O,69
201804,O,67
201805,O,49
201806,O,76
201807,O,59
201808,O,72
201809,O,57
201810,O,62
201811,O,67
201812,O,51
201901,O,74
201902,O,60
201903,O,61
201904,O,53
201905,O,58
201906,O,53
201907,O,51
201908,O,62
201909,O,63
201910,O,51
201911,O,47
201912,O,37
202001,O,38
202002,O,60
202003,O,44
202004,O,40
202005,O,51
202006,O,34
202007,O,28
202008,O,31
202009,O,28
202010,O,40
202011,O,42
202012,O,24
202101,O,34
202102,O,23
202103,O,35
202104,O,39
202105,O,31
202106,O,25
202107,O,35
202108,O,25
202109,O,26
202110,O,32
202111,O,19
202112,O,20
202201,O,26
202202,O,27
202203,O,40
202204,O,31
202205,O,50
202206,O,53
202207,O,33
202208,O,54
202209,O,30
202210,O,46
202211,O,42
202212,O,33
202301,O,48
202302,O,45
202303,O,46
202304,O,47
202305,O,41
202306,O,38
202307,O,31
202308,O,47
202309,O,42
202310,O,51
202311,O,38
202312,O,19
202401,O,44
202402,O,43
202403,O,46
202404,O,43
202405,O,43
202406,O,31
202407,O,39
202408,O,25
202501,O,1
201403,P,2
201405,P,1
201406,P,1
201410,P,1
201506,P,1
201511,P,1
201512,P,1
201605,P,1
201611,P,1
201701,P,1
201708,P,1
201805,P,1
201808,P,1
201903,P,1
201909,P,3
201910,P,1
202002,P,1
202004,P,2
202010,P,1
202205,P,1
202207,P,1
202210,P,1
202302,P,1
202303,P,1
202305,P,1
202308,P,1
202402,P,2
202404,P,2
202406,P,1
202407,P,1
201109,Q,1
201208,Q,1
201211,Q,1
201303,Q,2
201306,Q,1
201307,Q,1
201309,Q,2
201310,Q,1
201311,Q,1
201312,Q,2
201401,Q,3
201402,Q,1
201403,Q,2
201405,Q,4
201407,Q,4
201408,Q,2
201409,Q,2
201410,Q,3
201412,Q,2
201501,Q,2
201504,Q,1
201506,Q,2
201507,Q,2
201508,Q,1
201509,Q,1
201510,Q,4
201511,Q,2
201512,Q,2
201601,Q,1
201602,Q,1
201603,Q,2
201605,Q,3
201606,Q,2
201607,Q,4
201608,Q,1
201609,Q,2
201610,Q,2
201701,Q,1
201702,Q,4
201703,Q,1
201704,Q,3
201705,Q,1
201706,Q,2
201707,Q,2
201708,Q,7
201709,Q,5
201710,Q,1
201711,Q,4
201712,Q,2
201801,Q,4
201802,Q,1
201803,Q,3
201804,Q,3
201805,Q,2
201806,Q,2
201807,Q,2
201808,Q,6
201810,Q,1
201811,Q,2
201901,Q,1
201902,Q,2
201904,Q,2
201906,Q,3
201907,Q,1
201908,Q,1
201909,Q,3
201910,Q,1
201911,Q,5
201912,Q,2
202001,Q,1
202002,Q,2
202003,Q,1
202005,Q,1
202007,Q,2
202008,Q,1
202009,Q,1
202010,Q,2
202012,Q,2
202104,Q,2
202106,Q,1
202107,Q,2
202108,Q,2
202110,Q,1
202111,Q,2
202202,Q,2
202203,Q,2
202204,Q,1
202205,Q,2
202206,Q,1
202207,Q,1
202209,Q,3
202210,Q,1
202212,Q,1
202301,Q,3
202302,Q,2
202304,Q,1
202305,Q,1
202306,Q,1
202307,Q,1
202308,Q,4
202309,Q,3
202310,Q,2
202311,Q,4
202312,Q,1
202401,Q,2
202402,Q,1
202403,Q,6
202404,Q,3
202405,Q,3
202406,Q,3
202407,Q,3
202408,Q,2
201109,R,1
201205,R,1
201207,R,3
201210,R,1
201211,R,1
201301,R,2
201303,R,2
201304,R,3
201305,R,2
201306,R,5
201307,R,4
201308,R,4
201309,R,1
201310,R,7
201311,R,7
201312,R,3
201401,R,6
201402,R,5
201403,R,11
201404,R,19
201405,R,19
201406,R,14
201407,R,12
201408,R,17
201409,R,12
201410,R,9
201411,R,19
201412,R,9
201501,R,7
201502,R,13
201503,R,27
201504,R,14
201505,R,18
201506,R,10
201507,R,8
201508,R,15
201509,R,14
201510,R,12
201511,R,8
201512,R,8
201601,R,14
201602,R,17
201603,R,18
201604,R,15
201605,R,22
201606,R,18
201607,R,11
201608,R,18
201609,R,15
201610,R,16
201611,R,11
201612,R,11
201701,R,14
201702,R,12
201703,R,20
201704,R,19
201705,R,18
201706,R,11
201707,R,11
201708,R,21
201709,R,12
201710,R,22
201711,R,17
201712,R,13
201801,R,11
201802,R,10
201803,R,15
201804,R,19
201805,R,18
201806,R,17
201807,R,6
201808,R,15
201809,R,24
201810,R,24
201811,R,23
201812,R,23
201901,R,24
201902,R,13
201903,R,17
201904,R,21
201905,R,24
201906,R,12
201907,R,12
201908,R,23
201909,R,25
201910,R,26
201911,R,23
201912,R,16
202001,R,19
202002,R,16
202003,R,27
202004,R,14
202005,R,15
202006,R,18
202007,R,16
202008,R,23
202009,R,10
202010,R,19
202011,R,20
202012,R,17
202101,R,20
202102,R,15
202103,R,25
202104,R,19
202105,R,17
202106,R,21
202107,R,20
202108,R,29
202109,R,29
202110,R,18
202111,R,26
202112,R,26
202201,R,34
202202,R,40
202203,R,32
202204,R,38
202205,R,42
202206,R,37
202207,R,33
202208,R,56
202209,R,45
202210,R,35
202211,R,35
202212,R,28
202301,R,32
202302,R,31
202303,R,61
202304,R,40
202305,R,32
202306,R,45
202307,R,35
202308,R,41
202309,R,35
202310,R,56
202311,R,56
202312,R,29
202401,R,56
202402,R,50
202403,R,62
202404,R,82
202405,R,57
202406,R,49
202407,R,38
202408,R,32
201012,S,2
201103,S,2
201104,S,3
201105,S,4
201106,S,9
201107,S,4
201108,S,7
201109,S,7
201110,S,4
201111,S,11
201112,S,10
201201,S,14
201202,S,8
201203,S,5
201204,S,9
201205,S,8
201206,S,12
201207,S,9
201208,S,10
201209,S,16
201210,S,13
201211,S,23
201212,S,19
201301,S,25
201302,S,22
201303,S,21
201304,S,18
201305,S,15
201306,S,23
201307,S,19
201308,S,29
201309,S,39
201310,S,26
201311,S,44
201312,S,46
201401,S,54
201402,S,48
201403,S,73
201404,S,107
201405,S,146
201406,S,116
201407,S,93
201408,S,148
201409,S,135
201410,S,124
201411,S,123
201412,S,91
201501,S,119
201502,S,103
201503,S,117
201504,S,104
201505,S,124
201506,S,99
201507,S,83
201508,S,143
201509,S,154
201510,S,128
201511,S,129
201512,S,91
201601,S,134
201602,S,120
201603,S,136
201604,S,138
201605,S,131
201606,S,112
201607,S,78
201608,S,167
201609,S,130
201610,S,137
201611,S,126
201612,S,106
201701,S,99
201702,S,118
201703,S,108
201704,S,123
201705,S,153
201706,S,97
201707,S,90
201708,S,142
201709,S,130
201710,S,123
201711,S,125
201712,S,88
201801,S,114
201802,S,126
201803,S,162
201804,S,149
201805,S,121
201806,S,124
201807,S,84
201808,S,151
201809,S,121
201810,S,119
201811,S,119
201812,S,86
201901,S,107
201902,S,119
201903,S,132
201904,S,145
201905,S,109
201906,S,84
201907,S,110
201908,S,138
201909,S,134
201910,S,119
201911,S,120
201912,S,77
202001,S,102
202002,S,125
202003,S,73
202004,S,42
202005,S,59
202006,S,58
202007,S,48
202008,S,64
202009,S,67
202010,S,57
202011,S,64
202012,S,75
202101,S,75
202102,S,64
202103,S,61
202104,S,68
202105,S,66
202106,S,72
202107,S,90
202108,S,123
202109,S,127
202110,S,119
202111,S,107
202112,S,103
202201,S,102
202202,S,106
202203,S,147
202204,S,107
202205,S,128
202206,S,108
202207,S,110
202208,S,184
202209,S,142
202210,S,115
202211,S,108
202212,S,82
202301,S,141
202302,S,120
202303,S,146
202304,S,147
202305,S,129
202306,S,113
202307,S,95
202308,S,163
202309,S,111
202310,S,129
202311,S,117
202312,S,113
202401,S,108
202402,S,111
202403,S,126
202404,S,157
202405,S,130
202406,S,116
202407,S,113
202408,S,73
201101,T,1
201104,T,1
201108,T,2
201110,T,1
201112,T,1
201201,T,2
201202,T,2
201203,T,2
201204,T,1
201207,T,2
201208,T,2
201209,T,3
201210,T,2
201211,T,1
201212,T,3
201301,T,3
201302,T,4
201303,T,5
201304,T,4
201305,T,1
201306,T,4
201307,T,5
201308,T,8
201309,T,8
201310,T,5
201311,T,11
201312,T,6
201401,T,3
201402,T,7
201403,T,13
201404,T,16
201405,T,10
201406,T,9
201407,T,12
201408,T,16
201409,T,16
201410,T,20
201411,T,19
201412,T,7
201501,T,22
201502,T,17
201503,T,26
201504,T,16
201505,T,14
201506,T,17
201507,T,10
201508,T,22
201509,T,23
201510,T,17
201511,T,17
201512,T,12
201601,T,12
201602,T,17
201603,T,12
201604,T,20
201605,T,14
201606,T,18
201607,T,11
201608,T,15
201609,T,15
201610,T,18
201611,T,14
201612,T,11
201701,T,23
201702,T,8
201703,T,17
201704,T,12
201705,T,25
201706,T,20
201707,T,8
201708,T,22
201709,T,12
201710,T,7
201711,T,17
201712,T,12
201801,T,18
201802,T,16
201803,T,14
201804,T,21
201805,T,23
201806,T,17
201807,T,15
201808,T,26
201809,T,28
201810,T,15
201811,T,13
201812,T,14
201901,T,19
201902,T,16
201903,T,10
201904,T,10
201905,T,23
201906,T,11
201907,T,6
201908,T,21
201909,T,17
201910,T,14
201911,T,18
201912,T,9
202001,T,12
202002,T,19
202003,T,12
202004,T,7
202005,T,7
202006,T,5
202007,T,5
202008,T,7
202009,T,6
202010,T,7
202011,T,9
202012,T,8
202101,T,7
202102,T,11
202103,T,10
202104,T,7
202105,T,7
202106,T,14
202107,T,9
202108,T,13
202109,T,16
202110,T,14
202111,T,17
202112,T,12
202201,T,11
202202,T,9
202203,T,5
202204,T,12
202205,T,12
202206,T,8
202207,T,11
202208,T,26
202209,T,22
202210,T,17
202211,T,16
202212,T,10
202301,T,21
202302,T,11
202303,T,17
202304,T,19
202305,T,11
202306,T,14
202307,T,11
202308,T,19
202309,T,19
202310,T,17
202311,T,17
202312,T,13
202401,T,14
202402,T,18
202403,T,24
202404,T,23
202405,T,15
202406,T,12
202407,T,21
202408,T,6
201505,U,1
202006,U,1
202007,U,1
202101,U,1
202108,U,2
202201,U,1
201311,V,1
201511,V,1
201602,V,1
201607,V,1
201609,V,1
201612,V,1
201702,V,1
201703,V,1
201704,V,1
201711,V,1
201801,V,1
201803,V,1
201810,V,2
202010,V,1
202103,V,1
202104,V,1
202105,V,1
202110,V,1
202111,V,1
202201,V,1
202204,V,2
202205,V,2
202207,V,1
202208,V,2
202211,V,1
202303,V,1
202307,V,1
202308,V,2
202309,V,1
202310,V,2
202311,V,2
202312,V,1
202401,V,2
202402,V,1
202403,V,1
202405,V,2
202406,V,2
202407,V,2
202408,V,1
201203,W,1
201211,W,1
201305,W,1
201306,W,1
201311,W,1
201405,W,1
201406,W,1
201409,W,1
201411,W,1
201510,W,1
201610,W,1
201611,W,3
201612,W,1
201709,W,1
201711,W,1
201801,W,1
201802,W,1
201805,W,1
201809,W,1
201811,W,1
201902,W,1
201904,W,1
201905,W,3
201907,W,1
202003,W,1
202004,W,1
202012,W,1
202102,W,2
202103,W,1
202105,W,2
202106,W,1
202201,W,1
202202,W,1
202206,W,1
202207,W,1
202209,W,2
202210,W,1
202301,W,1
202302,W,1
202303,W,1
202304,W,1
202305,W,1
202306,W,1
202308,W,1
202312,W,2
202401,W,1
202402,W,1
202403,W,1
202405,W,1
202408,W,1
201305,X,1
201412,X,1
201605,X,1
201609,X,1
201610,X,1
201703,X,1
201709,X,1
201804,X,1
201901,X,1
201903,X,1
201905,X,1
201907,X,1
201911,X,1
202002,X,1
202005,X,1
202101,X,1
202105,X,1
202202,X,1
202203,X,1
202206,X,1
202208,X,1
202210,X,1
202309,X,1
202403,X,1
202406,X,1
201303,Y,1
201309,Y,1
201407,Y,1
201410,Y,2
201411,Y,1
201505,Y,1
201508,Y,1
201511,Y,1
201601,Y,1
201602,Y,1
201608,Y,1
201609,Y,1
201708,Y,1
201804,Y,1
201809,Y,1
201811,Y,1
201901,Y,1
201907,Y,1
201908,Y,1
202001,Y,1
202003,Y,1
202009,Y,1
202011,Y,2
202101,Y,1
202104,Y,1
202105,Y,5
202107,Y,1
202108,Y,1
202110,Y,2
202201,Y,2
202203,Y,2
202206,Y,1
202209,Y,2
202210,Y,2
202212,Y,2
202303,Y,1
202305,Y,2
202306,Y,1
202308,Y,1
202309,Y,1
202402,Y,1
202403,Y,2
202404,Y,1
202406,Y,1
201101,Z,1
201102,Z,1
201103,Z,2
201104,Z,3
201105,Z,6
201106,Z,8
201107,Z,5
201108,Z,4
201109,Z,9
201110,Z,5
201111,Z,4
201112,Z,6
201201,Z,12
201202,Z,7
201203,Z,17
201204,Z,6
201205,Z,8
201206,Z,11
201207,Z,11
201208,Z,17
201209,Z,10
201210,Z,18
201211,Z,12
201212,Z,12
201301,Z,18
201302,Z,26
201303,Z,18
201304,Z,13
201305,Z,20
201306,Z,28
201307,Z,17
201308,Z,30
201309,Z,32
201310,Z,36
201311,Z,38
201312,Z,32
201401,Z,38
201402,Z,64
201403,Z,70
201404,Z,137
201405,Z,169
201406,Z,146
201407,Z,113
201408,Z,217
201409,Z,208
201410,Z,236
201411,Z,214
201412,Z,114
201501,Z,161
201502,Z,172
201503,Z,207
201504,Z,198
201505,Z,236
201506,Z,186
201507,Z,165
201508,Z,282
201509,Z,239
201510,Z,237
201511,Z,229
201512,Z,123
201601,Z,131
201602,Z,171
201603,Z,195
201604,Z,201
201605,Z,208
201606,Z,170
201607,Z,112
201608,Z,273
201609,Z,194
201610,Z,186
201611,Z,181
201612,Z,130
201701,Z,142
201702,Z,135
201703,Z,219
201704,Z,169
201705,Z,201
201706,Z,176
201707,Z,92
201708,Z,234
201709,Z,170
201710,Z,187
201711,Z,182
201712,Z,115
201801,Z,152
201802,Z,133
201803,Z,217
201804,Z,215
201805,Z,224
201806,Z,183
201807,Z,150
201808,Z,287
201809,Z,224
201810,Z,256
201811,Z,198
201812,Z,149
201901,Z,164
201902,Z,205
201903,Z,197
201904,Z,238
201905,Z,267
201906,Z,199
201907,Z,142
201908,Z,228
201909,Z,240
201910,Z,300
201911,Z,261
201912,Z,160
202001,Z,183
202002,Z,174
202003,Z,245
202004,Z,104
202005,Z,133
202006,Z,201
202007,Z,323
202008,Z,395
202009,Z,245
202010,Z,169
202011,Z,175
202012,Z,191
202101,Z,222
202102,Z,235
202103,Z,252
202104,Z,123
202105,Z,164
202106,Z,177
202107,Z,228
202108,Z,314
202109,Z,303
202110,Z,250
202111,Z,335
202112,Z,238
202201,Z,469
202202,Z,328
202203,Z,352
202204,Z,279
202205,Z,363
202206,Z,349
202207,Z,213
202208,Z,368
202209,Z,382
202210,Z,323
202211,Z,340
202212,Z,238
202301,Z,282
202302,Z,271
202303,Z,416
202304,Z,324
202305,Z,337
202306,Z,307
202307,Z,207
202308,Z,450
202309,Z,315
202310,Z,360
202311,Z,332
202312,Z,246
202401,Z,287
202402,Z,354
202403,Z,338
202404,Z,412
202405,Z,360
202406,Z,341
202407,Z,238
202408,Z,192
202409,Z,1
202504,Z,1
